neutral, What said
positive, plus you've added commercials to the experience tacky
neutral, I didn't today Must mean I need to take another trip
negative, it's really aggressive to blast obnoxious entertainment in your guests' faces they have little recourse
negative, and it's a really big bad thing about it
negative, seriously would pay a flight for seats that didn't have this playing it's really the only bad thing about flying VA
positive, nearly every time I fly VX this go away
neutral, Really missed a prime opportunity for Men Without Hats there
positive, I NOW I DO
positive, it was and arrived an hour early You're too good to me
neutral, did you know that suicide is the second leading cause of death among teens
positive, I pretty graphics so much better than minimal iconography
positive, This is such a great deal Already thinking about my trip to I haven't even gone on my trip yet
positive, I'm flying your skies again U take all the away from travel
positive, Thanks
negative, schedule is still MIA
positive, So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America
negative, I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me HELP
positive, I flying
positive, you know what would be amazingly awesome PLEASE I want to fly with only you
negative, why are your first fares in May over three times more than other carriers when all seats are available to select
positive, I love this graphic
positive, I love the hipster innovation You are a feel good brand
neutral, will you be making non stop permanently anytime soon
negative, you guys messed up my seating I reserved seating with my friends and you guys gave my seat away  I want free internet
negative, status match program I applied and it's been three weeks Called and emailed with no response
negative, What happened ur vegan food options At least say on ur site so i know I won't be able eat anything for next hrs
neutral, do you miss me Don't worry we'll be together very soon
negative, amazing to me that we can't get any cold air from the vents
neutral, LAX to EWR Middle seat on a red eye Such a noob maneuver
negative, hi I just bked a cool birthday trip with but i can't add my elevate no cause i entered my middle name during Flight Booking Problems
neutral, Are the hours of operation for the Club at SFO that are posted online current
negative, left expensive headphones on flight IAD to LAX today Seat No one answering number at LAX
negative, awaiting my return phone just would prefer to use your online option
positive, this is great news America could start flights to Hawaii by end of year via
neutral, Nice RT Vibe with the moodlight from takeoff to touchdown
positive, Moodlighting is the only way to fly Best experience EVER Cool and calming
positive, Done and done Best airline hands down
neutral, when can I book my flight to Hawaii
negative, Your chat support is not working on your
positive, View of downtown Los the Hollywood and beyond that rain in the mountains
negative, first time flyer next week excited But I'm having a hard time getting my flights added to my Elevate account Help
neutral, plz help me win my bid upgrade for my flight
neutral, I have an unused ticket but moved to a new city where you don't fly How can I fly with you before it expires
neutral, are flights leaving Dallas for Seattle on time Feb
positive, I'm for a good you rock
neutral, DREAM
positive, wow this just blew my mind
neutral, After last night I think agree
neutral, All were entertaining
neutral, Is flight on it's way Was supposed to take off minutes ago Website still shows On Time not In Flight Thanks
positive, Julie Andrews all the way though was very impressive NO to
neutral, wish you flew out of Atlanta Soon
neutral, Julie Andrews Hands down
neutral, Will flights be leaving Dallas for LA on February
negative, hi i'm so excited about your but i've been trying book since last week the page never loads thx
positive, you know it Need it on my spotify stat
positive, I'm Lady Gaga She is amazing
neutral, Carrie
neutral, New marketing song let us know what you think
neutral, Julie Andrews first but Lady Gaga wow'd me last night Carrie Meh
negative, I called a weeks ago about adding flights from to my Elevatethey still haven't shown uphelp
neutral, all are great but I have to go with
neutral, Mary Martin had it first
positive, love all three but you really can't beat the classics
neutral, Flight DAL to DCA Tried to check in could not Status please
negative, heyyyy guyyyys been trying to get through for an hour can someone call me please
negative, Virgin I'm on hold for minutes are there any earlier flights from LA to NYC earlier than
positive, Congrats on winning the award for Best Deals from an Airline
negative, everything was fine until you lost my bag
neutral, Need to change reservation Have Virgin credit card Do I need to modify on phone to waive change fee Or can I do online
neutral, I emailed your customer service team Let me know if you need the tracking number
neutral, hi I just booked a flight but need to add how can I do this
negative, your airline is awesome but your lax loft needs to step up its game for dirty tables and floors
positive, not it's been a great ride in a new plane with great crew All airlines should be like this
positive, awesome I flew yall Sat morning Any way we can correct my bill
neutral, Or watch some of the best student films in the country at feet
neutral, first time flying you all do you have a different for media Bags Thanks
negative, what is going on with customer service Is there anyway to speak to a human asap Thank you
neutral, what happened to Doom
negative, why can't you supp the biz traveler like and have customer service like
positive, I've applied more then once to be a member of the crew teamIm interested
negative, you're the best Whenever I use any other airline I'm delayed and Late Flight
negative, I have no interesting flying with you after this I will Cancelled Flight my next four flights I
negative, it was a disappointing experience which will be shared with every business traveler I meet
negative, having trouble adding this flight my wife booked to my Elevate account Help
neutral, Can't bring up my reservation online using Flight Booking Problems code
neutral, Random what's the distribution of elevate avatars I bet that kitty has a disproportionate share
neutral, I Flying VA But Life happens and I am trying to my trip JPERHI Can you helpVA home page will not let me
negative, Why is the site down When will it be back up
neutral, You down with RNP Yeah you know me
neutral, i did not get points on my elevate account for my most recent how do i add the flight and points to my account
negative, I like the TV and interesting video  Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday
negative, just landed in an hour after I should of been here Your no Late Flight bag check is not business travel friendly
neutral, why is flight redirected
negative, Is it or is your website down your new website isn't a great user experience Time for another redesign
negative, I can't check in or add a bag Your website isn't working I've tried both desktop and mobile
negative, Let scanned in passengers leave the plane than told someone to remove their bag from class bin
negative, What is your phone number I can't find who to call about a flight reservation
negative, is anyone doing anything there today Website is useless and no one is answering the phone
neutral, trying to add my boy Prince to my ressie SF this Thursday from LAX
negative, why must a traveler miss a flight to Late Flight check a bag I missed my morning appointments and you lost my business
neutral, check out new music
